,LAT,Year,LONG,LC1,LC2,LAND_MNGT,CLASS,Country
28285,41.49236,2012,14.76255,C10,8,2.0,Forest,Italy
28286,41.58255,2012,14.76952,C10,8,2.0,Forest,Italy
28287,41.70881,2012,14.77932,C10,8,2.0,Forest,Italy
28288,41.58482,2012,14.72181,C10,8,2.0,Forest,Italy
28289,41.65697,2012,14.72735,C10,8,2.0,Forest,Italy
28290,41.74715,2012,14.7343,C10,8,2.0,Forest,Italy
28291,41.81701,2012,14.78777,C10,8,2.0,Forest,Italy
28292,37.8941,2012,14.52866,C10,8,2.0,Forest,Italy
28293,37.21062,2012,14.37213,C10,8,2.0,Forest,Italy
28294,37.37381,2012,14.38239,C10,8,2.0,Forest,Italy
28295,41.90946,2012,14.74688,C10,8,2.0,Forest,Italy
28296,40.91379,2012,14.74219,C10,8,2.0,Forest,Italy
28297,41.04013,2012,14.75176,C10,8,2.0,Forest,Italy
28298,37.73632,2012,14.40544,C22,8,2.0,Forest,Italy
28299,37.97186,2012,14.42061,C10,8,2.0,Forest,Italy
28300,41.4371,2012,14.78218,C10,8,2.0,Forest,Italy
28301,40.66661,2012,14.60566,C10,8,2.0,Forest,Italy
28302,41.28035,2012,14.65098,C10,8,2.0,Forest,Italy
28303,41.31644,2012,14.65368,C10,8,2.0,Forest,Italy
28304,37.95058,2012,14.48714,C10,8,2.0,Forest,Italy
28305,40.75357,2012,14.68288,C10,8,2.0,Forest,Italy
28306,40.87994,2012,14.69229,C33,8,2.0,Forest,Italy
28307,40.91604,2012,14.69499,C10,8,2.0,Forest,Italy
28308,41.04239,2012,14.70446,C10,8,2.0,Forest,Italy
28309,41.56337,2012,14.79197,C10,8,2.0,Forest,Italy
28310,41.59945,2012,14.79478,C10,8,2.0,Forest,Italy
28311,41.35253,2012,14.65639,C10,8,2.0,Forest,Italy
28312,41.38861,2012,14.6591,C10,8,2.0,Forest,Italy
28313,41.47882,2012,14.6659,C10,8,2.0,Forest,Italy
28314,41.60511,2012,14.67546,C10,8,2.0,Forest,Italy
28315,41.13263,2012,14.71126,C33,8,2.0,Forest,Italy
28316,41.29503,2012,14.72357,C10,8,2.0,Forest,Italy
28317,41.40329,2012,14.73182,C10,8,2.0,Forest,Italy
28318,41.96582,2012,14.70308,C10,8,2.0,Forest,Italy
28319,41.52957,2012,14.7415,C10,8,2.0,Forest,Italy
28320,41.89029,2012,14.76945,C10,8,2.0,Forest,Italy
28321,37.82587,2012,14.43378,C10,8,2.0,Forest,Italy
28322,37.33858,2012,14.35774,C22,8,2.0,Forest,Italy
28323,37.39297,2012,14.36115,C33,8,2.0,Forest,Italy
28324,41.24314,2012,14.672,C10,8,2.0,Forest,Italy
28325,41.36945,2012,14.68152,C10,8,2.0,Forest,Italy
28326,37.92825,2012,14.9383,C10,8,2.0,Forest,Italy
28327,37.80381,2012,14.88414,C10,8,2.0,Forest,Italy
28328,37.93058,2012,14.89319,C10,8,2.0,Forest,Italy
28329,38.00301,2012,14.89839,C10,8,2.0,Forest,Italy
28330,38.02112,2012,14.89969,C10,8,2.0,Forest,Italy
28331,40.44131,2012,15.13014,C10,8,2.0,Forest,Italy
28332,38.09355,2012,14.9049,C10,8,2.0,Forest,Italy
28333,40.20903,2012,15.06465,C10,8,2.0,Forest,Italy
28334,40.24514,2012,15.0675,C10,8,2.0,Forest,Italy
28335,40.7662,2012,15.15653,C10,8,2.0,Forest,Italy
28336,40.92859,2012,15.16986,C10,8,2.0,Forest,Italy
28337,41.05488,2012,15.1803,C10,8,2.0,Forest,Italy
28338,41.38202,2012,15.15985,C10,8,2.0,Forest,Italy
28339,41.83027,2012,15.24568,C10,8,2.0,Forest,Italy
28340,37.12875,2012,14.92626,C33,8,2.0,Forest,Italy
28341,40.37394,2012,15.03075,C10,8,2.0,Forest,Italy
28342,40.8613,2012,15.06962,C10,8,2.0,Forest,Italy
28343,37.61801,2012,14.9611,C10,8,2.0,Forest,Italy
28344,37.65424,2012,14.96371,C33,8,2.0,Forest,Italy
28345,37.85347,2012,14.97813,C10,8,2.0,Forest,Italy
28346,40.89739,2012,15.07253,C10,8,2.0,Forest,Italy
28347,38.01644,2012,14.99001,C10,8,2.0,Forest,Italy
28348,41.43858,2012,15.11678,C10,8,2.0,Forest,Italy
28349,37.00531,2012,14.85058,C22,8,2.0,Forest,Italy
28350,37.7144,2012,14.85522,C10,8,2.0,Forest,Italy
28351,37.69397,2012,14.8989,C23,8,2.0,Forest,Italy
28352,37.82076,2012,14.90795,C10,8,2.0,Forest,Italy
28353,37.94753,2012,14.91705,C10,8,2.0,Forest,Italy
28354,40.6735,2012,15.19617,C10,8,2.0,Forest,Italy
28355,40.99828,2012,15.22307,C10,8,2.0,Forest,Italy
28356,37.78685,2012,14.86035,C10,8,2.0,Forest,Italy
28357,37.89552,2012,14.86806,C10,8,2.0,Forest,Italy
28358,37.94985,2012,14.87193,C10,8,2.0,Forest,Italy
28359,38.05849,2012,14.8797,C10,8,2.0,Forest,Italy
28360,38.11048,2012,14.92882,C10,8,2.0,Forest,Italy
28361,40.42448,2012,15.10527,C10,8,2.0,Forest,Italy
28362,40.64352,2012,15.07574,C10,8,2.0,Forest,Italy
28363,40.75181,2012,15.08445,C10,8,2.0,Forest,Italy
28364,40.91423,2012,15.09759,C10,8,2.0,Forest,Italy
28365,37.69164,2012,14.94385,C10,8,2.0,Forest,Italy
28366,37.94519,2012,14.96217,C22,8,2.0,Forest,Italy
28367,41.13073,2012,15.11526,C10,8,2.0,Forest,Italy
