"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","PI_EXTENSION","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALTITUDE","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU1_TYPE","LU1_PCT","LU2","LU2_TYPE","LU2_PCT","AREA_SIZE","TREES_HEIGHT_MATURITY","TREES_HEIGHT_SURVEY","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W","INSPIRE_PLCC1","INSPIRE_PLCC2","INSPIRE_PLCC3","INSPIRE_PLCC4","INSPIRE_PLCC5","INSPIRE_PLCC6","INSPIRE_PLCC7","INSPIRE_PLCC8","TRANSECT"
33583174,"UK","UKK","UKK4",50.858140171,-3.770076759,"25/08/15",2,"",1,11,50.859199,"W",3.770581,197,127,1,"B13","8",7,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13"
33743142,"UK","UKK","UKK4",50.602854806,-3.463362714,"03/08/15",2,"",1,13,50.600614,"W",3.461824,66,276,1,"B32","8",3,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,2,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B32;E20;13;E20;24;E20;13;01;B32;24;B32"
34343170,"UK","UKK","UKK2",50.945952987,-2.694288383,"25/06/15",2,"",1,17,50.946848,"W",2.69199,109,189,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;24;E20;23;C10;31;C10;23;E20"
36043172,"UK","UKJ","UKJ2",51.203266291,-0.298129124,"03/08/15",1,"",1,20,51.203268,"W",0.298179,124,5,1,"C31","C31E",7,"8","8",8,2,"U120","8",7,"8","8",8,3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,40,50,10,0,0,0,0,0,"C31;63;C10;E20"
37203172,"UK","UKJ","UKJ4",51.338174478,1.352344709,"14/05/15",2,"",1,20,51.339105,"E",1.353058,85,112,1,"C10","C102",5,"E30","8",4,2,"U111","8",7,"8","8",8,3,2,1,2,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,50,0,50,0,0,0,0,"C10;E30;61;23;E20;D20;01;B11"
36023176,"UK","UKJ","UKJ2",51.236275846,-0.33454903,"20/07/15",1,"",1,16,51.236303,"W",0.334541,117,1,2,"A22","8",7,"8","8",8,1,"U312","8",7,"8","8",8,4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"13;A;E20"
34403180,"UK","UKK","UKK2",51.043595548,-2.634347142,"24/06/15",1,"",1,14,51.043586,"W",2.634331,68,2,2,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"13;E20;B32;E20;13;23;13;E20;B13"
35223172,"UK","UKJ","UKJ3",51.093861122,-1.459130441,"06/05/15",1,"",1,13,51.093895,"W",1.459139,122,1,1,"B11","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B11;13;01;62;01;13;24;01;62;01;13;C10;23;E20;23;C10;PI;E10;PI"
35283172,"UK","UKJ","UKJ3",51.102258605,-1.3743527,"02/06/15",1,"",1,13,51.101699,"W",1.373307,156,99,1,"B11","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B11;01;23;13;01;B13;24;B13"
35683172,"UK","UKJ","UKJ2",51.156660794,-0.8084576,"09/07/15",1,"",1,16,51.156693,"W",0.808451,108,1,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;E30;24;32;C10;PI;G21;C10;PI"
35763172,"UK","UKJ","UKJ2",51.167210761,-0.695133421,"09/07/15",1,"",1,13,51.167213,"W",0.695132,106,1,1,"D10","8",7,"8","8",8,2,"U420","8",7,"8","8",8,4,2,1,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,5,0,65,30,0,0,0,0,"D10;32;D20;D10;E30;C10;D20"
35863172,"UK","UKJ","UKJ2",51.180243055,-0.553411702,"09/07/15",1,"",1,25,51.180209,"W",0.553408,129,1,1,"B16","8",3,"8","8",8,1,"U111","8",7,"8","8",8,2,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B16;13;E20;23;B55"
36223172,"UK","UKJ","UKJ2",51.225729677,-0.0426151149999,"26/06/15",1,"",1,46,51.226475,"W",0.043204,118,92,1,"B13","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13;01;23;14;E20;B13"
